_id,PARTYLEDGERNAME
65d0f593a9f96d011aaf4c8d,Stone Wood Resorts LLP 1
65d0f593a9f96d011aaf4c8e,Casa Boutique- Amc
65d0f593a9f96d011aaf4c8f,Staah Hotel Software Private Limited
65d0f593a9f96d011aaf4c90,Staah Hotel Software Private Limited
65d0f593a9f96d011aaf4c91,Veto Corp
65d0f593a9f96d011aaf4c92,Aastha Escape -  STAAH
65d0f593a9f96d011aaf4c93,Acron BNB - STAAH (New)
65d0f593a9f96d011aaf4c94,Acron Candolim Regina - STAAH
65d0f593a9f96d011aaf4c95,Acron Seaway Resort - STAAH
65d0f593a9f96d011aaf4c96,Acron Waterfront Resort - STAAH
65d0f593a9f96d011aaf4c97,Aero Village - STAAH
65d0f593a9f96d011aaf4c98,Alagoa Beach Resort - STAAH
65d0f593a9f96d011aaf4c99,Hotel Amani (Ajgaonkar) - STAAH
65d0f593a9f96d011aaf4c9a,Amour Resort - STAAH
65d0f593a9f96d011aaf4c9b,Andores Resort & Spa - STAAH
65d0f593a9f96d011aaf4c9c,Antares Beach Resort - STAAH
65d0f593a9f96d011aaf4c9d,Arotel Rooms & Suites - STAAH
65d0f593a9f96d011aaf4c9e,Athi Resort - STAAH
65d0f593a9f96d011aaf4c9f,Baga High Q - STAAH
65d0f593a9f96d011aaf4ca0,Bambolim Beach Resort - STAAH
65d0f593a9f96d011aaf4ca1,Bay 15 - STAAH (New)
65d0f593a9f96d011aaf4ca2,Baywatch Resort - STAAH
65d0f593a9f96d011aaf4ca3,Bedrock Boutique Hostel - STAAH
65d0f593a9f96d011aaf4ca4,Beira Mar Beach Resort - STAAH
65d0f593a9f96d011aaf4ca5,Beleza...by the Beach - STAAH
65d0f593a9f96d011aaf4ca6,Bogmallo Beach Resort - STAAH
65d0f593a9f96d011aaf4ca7,Boomerang  Ashvem (C) - STAAH
65d0f593a9f96d011aaf4ca8,Cabo Serai - STAAH
65d0f593a9f96d011aaf4ca9,Calangute Beach Resort - STAAH
65d0f593a9f96d011aaf4caa,Calangute Grande (Baba Hotels) - STAAH
65d0f593a9f96d011aaf4cab,Goa Electronics - STAAH
65d0f593a9f96d011aaf4cac,Goa Tourism Development Corporation Limited - STAAH
65d0f593a9f96d011aaf4cad,Casa De Goa - STAAH
65d0f593a9f96d011aaf4cae,Casa Menezes - STAAH
65d0f593a9f96d011aaf4caf,Casa Severina - STAAH
65d0f593a9f96d011aaf4cb0,Casablanc Beach Resorts LLP -STAAH
65d0f593a9f96d011aaf4cb1,Cavala - The Seaside Resort - STAAH
65d0f593a9f96d011aaf4cb2,Chances Resort And Casino - STAAH
