VCHTYPE,DATE,VCHSTATUSDATE,NARRATION,ENTEREDBY,CMPGSTIN,VOUCHERTYPENAME,PARTYLEDGERNAME,VOUCHERNUMBER,CMPGSTREGISTRATIONTYPE,CMPGSTSTATE,NUMBERINGSTYLE,VCHSTATUSVOUCHERTYPE,VCHSTATUSTAXUNIT,VCHENTRYMODE,EFFECTIVEDATE,ALTERID,MASTERID,VOUCHERKEY,VOUCHERRETAINKEY,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT
PNB Receipt,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),ch.no. 232938,sharmila,30AAECR9843B1ZN,PNB Receipt,Stone Wood Resorts LLP 1,31,Regular,Goa,Auto Retain,PNB Receipt,Goa Registration,,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 114945, 65653,193471096815624,4361,Stone Wood Resorts LLP 1, Not Applicable,1593,0,Punjab National Bank, Not Applicable,-1593,0
PNB Receipt,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),being neft done,sharmila,30AAECR9843B1ZN,PNB Receipt,Casa Boutique- Amc,32,Regular,Goa,Auto Retain,PNB Receipt,Goa Registration,,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115066, 68009,193471096815632,4365,Casa Boutique- Amc, Not Applicable,11600,0,Punjab National Bank, Not Applicable,-11600,0
Purchase,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Get google for April 2023,sharmila,30AAECR9843B1ZN,Purchase,Staah Hotel Software Private Limited,21,Regular,Goa,Auto Retain,Purchase,Goa Registration,As Voucher,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 116854, 67973,193471096815680,8145,Staah Hotel Software Private Limited, Not Applicable,22239.56,22239.56,Get Google 1, Not Applicable,-20592,-20592
Purchase,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),April 2023,sharmila,30AAECR9843B1ZN,Purchase,Staah Hotel Software Private Limited,22,Regular,Goa,Auto Retain,Purchase,Goa Registration,As Voucher,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 116855, 67974,193471096815688,8149,Staah Hotel Software Private Limited, Not Applicable,600776.5,600776.5,Booking Engine&CMS (Staah) Expense1, Not Applicable,-556275,-556275
Purchase,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,sharmila,30AAECR9843B1ZN,Purchase,Veto Corp,23,Regular,Goa,Auto Retain,Purchase,Goa Registration,As Voucher,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 116856, 67979,193471096815696,8153,Veto Corp, Not Applicable,1239,1239,Booking Engine&CMS (Staah) Expense1, Not Applicable,-1050,-1050
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Aastha Escape -  STAAH,Rb/ST/23-24/208,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115100, 68020,193471096815704,66941,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Acron BNB - STAAH (New),Rb/ST/23-24/209,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115101, 68021,193471096815712,66945,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Acron Candolim Regina - STAAH,Rb/ST/23-24/210,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115099, 68022,193471096815720,66949,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Acron Seaway Resort - STAAH,Rb/ST/23-24/211,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115102, 68023,193471096815728,66953,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),may 2023,chelsea,30AAECR9843B1ZN,Sales,Acron Waterfront Resort - STAAH,Rb/ST/23-24/212,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115103, 68024,193471096815736,66957,,,0,0,,,0,0
