VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Aug-2023,Rio Boutique - DG,Rub/23-24/DG/269,Social Media,50000,Digital Media
Sales,Aug-2023,Rio Boutique - DG,Rub/23-24/DG/269,Social Media,5000,Digital Media
Sales,Aug-2023,Sudhanand Four Seasons - Staah,Rb/ST/23-24/1022,Setup CM(1),6000,STAAH
Sales,Aug-2023,Sudhanand Four Seasons - Staah,Rb/ST/23-24/1022,Monthly CM (1),3500,STAAH
Sales,Aug-2023,Rio Management Services Private Linited,Rub/23-24/DG/270,Google Adwords for the Website,30000,Digital Media
Sales,Aug-2023,Rio Management Services Private Linited,Rub/23-24/DG/270,Social Media Management,16000,Digital Media
Sales,Aug-2023,Rio Management Services Private Linited,Rub/23-24/DG/270,Influencer Marketing,20000,Digital Media
Sales,Aug-2023,Rio Management Services Private Linited,Rub/23-24/DG/271,Social Media Marketing,100000,Digital Media
Sales,Aug-2023,GSUDA,Rub/23-24/DH/272,Renewal of Domain Name,1600,Domain And Hosting
Sales,Aug-2023,GSUDA,Rub/23-24/DH/272,Renewal of Hosting,7500,Domain And Hosting
Sales,Aug-2023,GSUDA,Rub/23-24/DH/272,Renewal of Cpanel License,500,Domain And Hosting
Sales,Aug-2023,Laben Resort,Rub/23-24/DH/273,Renewal of Hosting,1750,Domain And Hosting
Sales,Aug-2023,Aastha Escape -  STAAH,Rb/ST/23-24/847,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Acron BNB - STAAH (New),Rb/ST/23-24/848,Monthly Fees C M,6000,STAAH
Sales,Aug-2023,Acron BNB - STAAH (New),Rb/ST/23-24/848,Monthly Fees  B E,2200,STAAH
Sales,Aug-2023,Acron BNB - STAAH (New),Rb/ST/23-24/848,Monthly Google Listing,2000,STAAH
Sales,Aug-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/849,Monthly Fees C M,6000,STAAH
Sales,Aug-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/849,Monthly Fees  B E,2200,STAAH
Sales,Aug-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/849,Monthly Google Listing,2000,STAAH
