VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jan-2024,Aastha Escape -  STAAH,Rb/ST/23-24/1942,Monthly Fees C M,5000,STAAH
Sales,Jan-2024,Acron BNB - STAAH (New),Rb/ST/23-24/1943,Monthly Fees C M,6000,STAAH
Sales,Jan-2024,Acron BNB - STAAH (New),Rb/ST/23-24/1943,Monthly Fees  B E,2200,STAAH
Sales,Jan-2024,Acron Candolim Regina - STAAH,Rb/ST/23-24/1944,Monthly Fees C M,6000,STAAH
Sales,Jan-2024,Acron Candolim Regina - STAAH,Rb/ST/23-24/1944,Monthly Fees  B E,2200,STAAH
Sales,Jan-2024,Acron Candolim Regina - STAAH,Rb/ST/23-24/1944,Monthly Google Listing,2000,STAAH
Sales,Jan-2024,Acron Seaway Resort - STAAH,Rb/ST/23-24/1945,Monthly Fees C M,5500,STAAH
Sales,Jan-2024,Acron Seaway Resort - STAAH,Rb/ST/23-24/1945,Monthly Fees  B E,2200,STAAH
Sales,Jan-2024,Acron Seaway Resort - STAAH,Rb/ST/23-24/1945,Monthly Google Listing,2000,STAAH
Sales,Jan-2024,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1946,Monthly Fees C M,6000,STAAH
Sales,Jan-2024,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1946,Monthly Fees  B E,2200,STAAH
Sales,Jan-2024,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1946,Monthly Google Listing,2000,STAAH
Sales,Jan-2024,Aero Village - STAAH,Rb/ST/23-24/1947,Monthly CM (1),4500,STAAH
Sales,Jan-2024,Aero Village - STAAH,Rb/ST/23-24/1947,Monthly BE (1),2500,STAAH
Sales,Jan-2024,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1948,Monthly Fees C M,5000,STAAH
Sales,Jan-2024,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1948,Monthly Fees  B E,1000,STAAH
Sales,Jan-2024,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1948,Monthly Fees C M,1500,STAAH
Sales,Jan-2024,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1948,Monthly Fees  B E,500,STAAH
Sales,Jan-2024,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1949,Monthly Fees C M,4000,STAAH
Sales,Jan-2024,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1949,Monthly Fees  B E,1000,STAAH
Sales,Jan-2024,Amour Resort - STAAH,Rb/ST/23-24/1950,Monthly Fees C M,4000,STAAH
Sales,Jan-2024,Amour Resort - STAAH,Rb/ST/23-24/1950,Monthly Fees  B E,2000,STAAH
Sales,Jan-2024,Amour Resort - STAAH,Rb/ST/23-24/1950,Monthly Fees Instant Website,2000,STAAH
Sales,Jan-2024,Andores Resort & Spa - STAAH,Rb/ST/23-24/1951,Monthly Fees C M,6000,STAAH
Sales,Jan-2024,Andores Resort & Spa - STAAH,Rb/ST/23-24/1951,Monthly Fees  B E,1500,STAAH
Sales,Jan-2024,Andores Resort & Spa - STAAH,Rb/ST/23-24/1951,Monthly Google Listing,2500,STAAH
Sales,Jan-2024,Antares Beach Resort - STAAH,Rb/ST/23-24/1952,Monthly Fees C M,4000,STAAH
Sales,Jan-2024,Antares Beach Resort - STAAH,Rb/ST/23-24/1952,Monthly Fees  B E,1000,STAAH
Sales,Jan-2024,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/1953,Monthly Fees C M,3000,STAAH
Sales,Jan-2024,Athi Resort - STAAH,Rb/ST/23-24/1954,Monthly Fees C M,3500,STAAH
Sales,Jan-2024,Athi Resort - STAAH,Rb/ST/23-24/1954,Monthly Fees  B E,1500,STAAH
Sales,Jan-2024,Baga High Q - STAAH,Rb/ST/23-24/1955,Monthly Fees C M,4500,STAAH
Sales,Jan-2024,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1956,Booking Engine & C.M.S. (STAAH),7750,STAAH
Sales,Jan-2024,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1956,Monthly Google Listing,2000,STAAH
Sales,Jan-2024,Bay 15 - STAAH (New),Rb/ST/23-24/1957,Monthly Fees C M,4000,STAAH
Sales,Jan-2024,Bay 15 - STAAH (New),Rb/ST/23-24/1957,Monthly Fees  B E,2000,STAAH
Sales,Jan-2024,Baywatch Resort - STAAH,Rb/ST/23-24/1958,Monthly Fees C M,4250,STAAH
