VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jul-2023,Aastha Escape -  STAAH,Rb/ST/23-24/630,Monthly Fees C M,5000,STAAH
Sales,Jul-2023,Acron BNB - STAAH (New),Rb/ST/23-24/631,Monthly Fees C M,6000,STAAH
Sales,Jul-2023,Acron BNB - STAAH (New),Rb/ST/23-24/631,Monthly Fees  B E,2200,STAAH
Sales,Jul-2023,Acron BNB - STAAH (New),Rb/ST/23-24/631,Monthly Google Listing,2000,STAAH
Sales,Jul-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/632,Monthly Fees C M,6000,STAAH
Sales,Jul-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/632,Monthly Fees  B E,2200,STAAH
Sales,Jul-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/632,Monthly Google Listing,2000,STAAH
Sales,Jul-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/633,Monthly Fees C M,5500,STAAH
Sales,Jul-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/633,Monthly Fees  B E,2200,STAAH
Sales,Jul-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/633,Monthly Google Listing,2000,STAAH
Sales,Jul-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/634,Monthly Fees C M,6000,STAAH
Sales,Jul-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/634,Monthly Fees  B E,2200,STAAH
Sales,Jul-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/634,Monthly Google Listing,2000,STAAH
Sales,Jul-2023,Aero Village - STAAH,Rb/ST/23-24/635,Monthly CM (1),4500,STAAH
Sales,Jul-2023,Aero Village - STAAH,Rb/ST/23-24/635,Monthly BE (1),2500,STAAH
Sales,Jul-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/636,Monthly Fees C M,5000,STAAH
Sales,Jul-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/636,Monthly Fees  B E,1000,STAAH
Sales,Jul-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/636,Monthly Fees C M,1500,STAAH
Sales,Jul-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/636,Monthly Fees  B E,500,STAAH
Sales,Jul-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/637,Monthly Fees C M,4000,STAAH
Sales,Jul-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/637,Monthly Fees  B E,1000,STAAH
Sales,Jul-2023,Amour Resort - STAAH,Rb/ST/23-24/638,Monthly Fees C M,4000,STAAH
Sales,Jul-2023,Amour Resort - STAAH,Rb/ST/23-24/638,Monthly Fees  B E,2000,STAAH
Sales,Jul-2023,Amour Resort - STAAH,Rb/ST/23-24/638,Monthly Fees Instant Website,2000,STAAH
Sales,Jul-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/639,Monthly Fees C M,5000,STAAH
Sales,Jul-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/639,Monthly Fees  B E,1500,STAAH
