VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jun-2023,Indian Artwares Corporation,Rub/23-24/DH/134,Renewal of Domain Names,2700,Domain And Hosting
Sales,Jun-2023,Hotel Nifa,Rub/22-23/DH/135,Renewal of Domain Name,1350,Domain And Hosting
Sales,Jun-2023,Timblo Dry Docks Pvt. Ltd,Rub/23-24/DH/136,Renewal of Domain Name,1350,Domain And Hosting
Sales,Jun-2023,Timblo Dry Docks Pvt. Ltd,Rub/23-24/DH/136,Renewal of Hosting,8100,Domain And Hosting
Sales,Jun-2023,Timblo Dry Docks Pvt. Ltd,Rub/23-24/DH/136,Renewal of Cpanel License,500,Domain And Hosting
Sales,Jun-2023,Timblo Dry Docks Pvt. Ltd,Rub/23-24/DH/136,Support Charges (Optional),3000,Domain And Hosting
Sales,Jun-2023,Aastha Escape -  STAAH,Rb/ST/23-24/419,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Acron BNB - STAAH (New),Rb/ST/23-24/420,Monthly Fees C M,6000,STAAH
Sales,Jun-2023,Acron BNB - STAAH (New),Rb/ST/23-24/420,Monthly Fees  B E,2200,STAAH
Sales,Jun-2023,Acron BNB - STAAH (New),Rb/ST/23-24/420,Monthly Google Listing,2000,STAAH
Sales,Jun-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/421,Monthly Fees C M,6000,STAAH
Sales,Jun-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/421,Monthly Fees  B E,2200,STAAH
Sales,Jun-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/421,Monthly Google Listing,2000,STAAH
Sales,Jun-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/422,Monthly Fees C M,5500,STAAH
Sales,Jun-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/422,Monthly Fees  B E,2200,STAAH
Sales,Jun-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/422,Monthly Google Listing,2000,STAAH
Sales,Jun-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/423,Monthly Fees C M,6000,STAAH
Sales,Jun-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/423,Monthly Fees  B E,2200,STAAH
Sales,Jun-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/423,Monthly Google Listing,2000,STAAH
Sales,Jun-2023,Aero Village - STAAH,Rb/ST/23-24/424,Monthly CM (1),4500,STAAH
Sales,Jun-2023,Aero Village - STAAH,Rb/ST/23-24/424,Monthly BE (1),2500,STAAH
Sales,Jun-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/425,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/425,Monthly Fees  B E,1000,STAAH
Sales,Jun-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/425,Monthly Fees C M,3000,STAAH
Sales,Jun-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/425,Monthly Fees  B E,500,STAAH
Sales,Jun-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/426,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/426,Monthly Fees  B E,1000,STAAH
Sales,Jun-2023,Amour Resort - STAAH,Rb/ST/23-24/427,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Amour Resort - STAAH,Rb/ST/23-24/427,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Amour Resort - STAAH,Rb/ST/23-24/427,Monthly Fees Instant Website,2000,STAAH
Sales,Jun-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/428,Monthly Fees C M,5000,STAAH
Sales,Jun-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/428,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/429,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/429,Monthly Fees  B E,1000,STAAH
Sales,Jun-2023,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/430,Monthly Fees C M,3000,STAAH
Sales,Jun-2023,Athi Resort - STAAH,Rb/ST/23-24/431,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Athi Resort - STAAH,Rb/ST/23-24/431,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Baga High Q - STAAH,Rb/ST/23-24/432,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/433,Booking Engine & C.M.S. (STAAH),7750,STAAH
Sales,Jun-2023,Bay 15 - STAAH (New),Rb/ST/23-24/434,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Bay 15 - STAAH (New),Rb/ST/23-24/434,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Baywatch Resort - STAAH,Rb/ST/23-24/435,Monthly Fees C M,4250,STAAH
Sales,Jun-2023,Baywatch Resort - STAAH,Rb/ST/23-24/435,Monthly Fees  B E,2250,STAAH
Sales,Jun-2023,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/436,Monthly Fees C M,2500,STAAH
Sales,Jun-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/437,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/438,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Jun-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/438,Monthly Google Listing,2500,STAAH
Sales,Jun-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/439,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Jun-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/439,Monthly Fees RM,2000,STAAH
