VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,May-2023,Aastha Escape -  STAAH,Rb/ST/23-24/208,Monthly Fees C M,5000,STAAH
Sales,May-2023,Acron BNB - STAAH (New),Rb/ST/23-24/209,Monthly Fees C M,6000,STAAH
Sales,May-2023,Acron BNB - STAAH (New),Rb/ST/23-24/209,Monthly Fees  B E,2200,STAAH
Sales,May-2023,Acron BNB - STAAH (New),Rb/ST/23-24/209,Monthly Google Listing,2000,STAAH
Sales,May-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/210,Monthly Fees C M,6000,STAAH
Sales,May-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/210,Monthly Fees  B E,2200,STAAH
Sales,May-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/210,Monthly Google Listing,2000,STAAH
Sales,May-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/211,Monthly Fees C M,5500,STAAH
Sales,May-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/211,Monthly Fees  B E,2200,STAAH
Sales,May-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/211,Monthly Google Listing,2000,STAAH
Sales,May-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/212,Monthly Fees C M,6000,STAAH
Sales,May-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/212,Monthly Fees  B E,2200,STAAH
Sales,May-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/212,Monthly Google Listing,2000,STAAH
Sales,May-2023,Aero Village - STAAH,Rb/ST/23-24/213,Monthly CM (1),4500,STAAH
Sales,May-2023,Aero Village - STAAH,Rb/ST/23-24/213,Monthly BE (1),2500,STAAH
Sales,May-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/214,Monthly Fees C M,5000,STAAH
Sales,May-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/214,Monthly Fees  B E,1000,STAAH
Sales,May-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/214,Monthly Fees C M,3000,STAAH
Sales,May-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/215,Monthly Fees C M,4000,STAAH
Sales,May-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/215,Monthly Fees  B E,1000,STAAH
Sales,May-2023,Amour Resort - STAAH,Rb/ST/23-24/216,Monthly Fees C M,4000,STAAH
Sales,May-2023,Amour Resort - STAAH,Rb/ST/23-24/216,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Amour Resort - STAAH,Rb/ST/23-24/216,Monthly Fees Instant Website,2000,STAAH
Sales,May-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/217,Monthly Fees C M,5000,STAAH
Sales,May-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/217,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/218,Monthly Fees C M,4000,STAAH
Sales,May-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/218,Monthly Fees  B E,1000,STAAH
Sales,May-2023,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/219,Monthly Fees C M,3000,STAAH
Sales,May-2023,Athi Resort - STAAH,Rb/ST/23-24/220,Monthly Fees C M,3500,STAAH
Sales,May-2023,Athi Resort - STAAH,Rb/ST/23-24/220,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Baga High Q - STAAH,Rb/ST/23-24/221,Monthly Fees C M,4500,STAAH
Sales,May-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/222,Booking Engine & C.M.S. (STAAH),7750,STAAH
Sales,May-2023,Bay 15 - STAAH (New),Rb/ST/23-24/223,Monthly Fees C M,4000,STAAH
Sales,May-2023,Bay 15 - STAAH (New),Rb/ST/23-24/223,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Baywatch Resort - STAAH,Rb/ST/23-24/224,Monthly Fees C M,4250,STAAH
Sales,May-2023,Baywatch Resort - STAAH,Rb/ST/23-24/224,Monthly Fees  B E,2250,STAAH
Sales,May-2023,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/225,Monthly Fees C M,2500,STAAH
Sales,May-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/226,Monthly Fees C M,4000,STAAH
Sales,May-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/227,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,May-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/227,Monthly Google Listing,2500,STAAH
Sales,May-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/228,Monthly Fees C M,4500,STAAH
Sales,May-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/228,Monthly Fees RM,2000,STAAH
Sales,May-2023,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/229,Monthly Fees C M,4000,STAAH
Sales,May-2023,Cabo Serai - STAAH,Rb/ST/23-24/230,Monthly Fees C M,3500,STAAH
Sales,May-2023,Cabo Serai - STAAH,Rb/ST/23-24/230,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Calangute Beach Resort - STAAH,Rb/ST/23-24/231,Monthly Fees C M,3500,STAAH
Sales,May-2023,Calangute Grande (Baba Hotels) - STAAH,Rb/ST/23-24/232,Monthly Fees C M,4500,STAAH
Sales,May-2023,Goa Electronics - STAAH,Rb/ST/23-24/233,Monthly Fees  B E,13500,STAAH
Sales,May-2023,Goa Tourism Development Corporation Limited - STAAH,Rb/ST/23-24/234,Monthly Fees C M,67500,STAAH
Sales,May-2023,Casa De Goa - STAAH,Rb/ST/23-24/235,Monthly Fees C M,6000,STAAH
Sales,May-2023,Casa De Goa - STAAH,Rb/ST/23-24/235,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Casa Menezes - STAAH,Rb/ST/23-24/236,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,May-2023,Casa Severina - STAAH,Rb/ST/23-24/237,Monthly Fees C M,3500,STAAH
Sales,May-2023,Casablanc Beach Resorts LLP -STAAH,Rb/ST/23-24/238,Monthly Fees C M,2500,STAAH
Sales,May-2023,Cavala - The Seaside Resort - STAAH,Rb/ST/23-24/239,Monthly Fees C M,2500,STAAH
Sales,May-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/240,Monthly Fees C M,3500,STAAH
Sales,May-2023,Chances Resort And Casino - STAAH,Rb/ST/23-24/240,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Cochichos Resort - STAAH,Rb/ST/23-24/241,Monthly Fees C M,4000,STAAH
Sales,May-2023,Coconut Creek - STAAH,Rb/ST/23-24/242,Monthly Fees C M,3000,STAAH
Sales,May-2023,Coconut Creek - STAAH,Rb/ST/23-24/242,Monthly Google Listing,2500,STAAH
Sales,May-2023,Crystal Serenity - STAAH,Rb/ST/23-24/243,Monthly Fees C M,2500,STAAH
Sales,May-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/244,Monthly CM (1),4000,STAAH
Sales,May-2023,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/244,Monthly BE (1),1000,STAAH
Sales,May-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/245,Monthly Fees C M,5000,STAAH
Sales,May-2023,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/245,Monthly Fees  B E,2000,STAAH
Sales,May-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/246,Monthly Fees C M,6000,STAAH
Sales,May-2023,De Mandarin Goa - STAAH,Rb/ST/23-24/246,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Devasthali - STAAH,Rb/ST/23-24/247,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,May-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/248,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,May-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Set Up C M,6000,STAAH
Sales,May-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Set Up B E,3000,STAAH
Sales,May-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Setup Payment Gateway,9000,STAAH
Sales,May-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Monthly Fees C M,4500,STAAH
Sales,May-2023,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Monthly Fees  B E,2250,STAAH
Sales,May-2023,Eros Boutique - STAAH New,Rb/ST/23-24/250,Monthly Fees C M,2500,STAAH
Sales,May-2023,Ruhe Stay Villas - STAAH,Rb/ST/23-24/251,Set Up C M,9000,STAAH
Sales,May-2023,Ruhe Stay Villas - STAAH,Rb/ST/23-24/251,Monthly Fees C M,10800,STAAH
Sales,May-2023,Estrela Do Mar - STAAH,Rb/ST/23-24/252,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,May-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/253,Monthly Fees C M,5000,STAAH
Sales,May-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/253,Monthly Fees  B E,2500,STAAH
Sales,May-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/253,Monthly Fees RM,2500,STAAH
Sales,May-2023,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/253,Monthly Google Listing,2500,STAAH
Sales,May-2023,Ginger Tree Anjuna - STAAH New,Rb/ST/23-24/254,Monthly Fees C M,3000,STAAH
Sales,May-2023,Golden Tulip - STAAH,Rb/ST/23-24/255,Monthly Fees C M,5000,STAAH
Sales,May-2023,Goveia Holiday Homes - STAAH New,Rb/ST/23-24/256,Monthly Fees C M,3500,STAAH
Sales,May-2023,Graciano Cottages - STAAH,Rb/ST/23-24/257,Monthly Fees C M,4000,STAAH
Sales,May-2023,Grandeur De Sanchi - STAAH,Rb/ST/23-24/258,Monthly Fees C M,3500,STAAH
Sales,May-2023,Granpa's Inn - STAAH,Rb/ST/23-24/259,Monthly Fees C M,4500,STAAH
Sales,May-2023,Hospedaria Abrige De Botelho - STAAH,Rb/ST/23-24/260,Monthly Fees C M,4500,STAAH
Sales,May-2023,Hotel Avisha Residency (C) - STAAH,Rb/ST/23-24/261,Monthly Fees C M,3500,STAAH
Sales,May-2023,Hotel Calangute Towers - STAAH,Rb/ST/23-24/262,Monthly Fees C M,5250,STAAH
Sales,May-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/263,Monthly Fees C M,4500,STAAH
Sales,May-2023,Hotel Goan Heritage - STAAH,Rb/ST/23-24/263,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Iora Baga Beach - STAAH,Rb/ST/23-24/264,Monthly Fees C M,4000,STAAH
Sales,May-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/265,Monthly Fees C M,4000,STAAH
Sales,May-2023,Hotel La Capitol - STAAH,Rb/ST/23-24/265,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Hotel Mayura - STAAH,Rb/ST/23-24/266,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,May-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/267,Monthly Fees C M,4500,STAAH
Sales,May-2023,Hotel Park Plaza - STAAH,Rb/ST/23-24/267,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Hotel Reemz - STAAH,Rb/ST/23-24/268,Monthly Fees C M,5000,STAAH
Sales,May-2023,Hotel Rezo's - STAAH,Rb/ST/23-24/269,Monthly Fees C M,2500,STAAH
Sales,May-2023,I Love Bell Bottoms Pvt Ltd - STAAH,Rb/ST/23-24/270,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,May-2023,Dempo River Sal Resort & Spa - STAAH,Rb/ST/23-24/271,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,May-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/272,Monthly Fees C M,4000,STAAH
Sales,May-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/272,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/272,Monthly Google Listing,2500,STAAH
Sales,May-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/272,Setup Google Listing,2500,STAAH
Sales,May-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/272,Monthly Google Listing,2167,STAAH
Sales,May-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/273,Monthly Fees C M,2100,STAAH
Sales,May-2023,Kalki Resorts,Rb/ST/23-24/274,Monthly Fees C M,3000,STAAH
Sales,May-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/275,Monthly Fees C M,3500,STAAH
Sales,May-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/276,Monthly Fees C M,4500,STAAH
Sales,May-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/276,Monthly Fees  B E,2000,STAAH
Sales,May-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/277,Monthly Fees C M,4000,STAAH
Sales,May-2023,La Grace Resort - STAAH,Rb/ST/23-24/278,Monthly Fees C M,4250,STAAH
Sales,May-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/279,Monthly Fees C M,5500,STAAH
Sales,May-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/279,Monthly Fees  B E,2000,STAAH
Sales,May-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/279,Monthly Google Listing,2500,STAAH
Sales,May-2023,La Sunila (C) - STAAH,Rb/ST/23-24/280,Monthly Fees C M,3500,STAAH
Sales,May-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/281,Monthly Fees C M,4000,STAAH
Sales,May-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/281,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Mansionhaus - STAAH,Rb/ST/23-24/282,Monthly Fees C M,3500,STAAH
Sales,May-2023,Mansionhaus - STAAH,Rb/ST/23-24/282,Monthly Fees  B E,1500,STAAH
Sales,May-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/283,Monthly Fees C M,3500,STAAH
Sales,May-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/283,Monthly Fees RM,2000,STAAH
Sales,May-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/284,Monthly Fees C M,4000,STAAH
Sales,May-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/284,Monthly Fees  B E,2000,STAAH
