VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Nov-2023,Models Real Estate Developers,Rub/23-24/AMC464,Annual Maintenance,18000,Maintenance Of Website
Sales,Nov-2023,Bay 15 - STAAH (New),Rub/23-24/AMC465,Annual Maintenance,15000,Maintenance Of Website
Sales,Nov-2023,Bambolim Beach Resort - STAAH,Rub/23-24/AMC466,Annual Maintenance,15000,Maintenance Of Website
Sales,Nov-2023,Nazri Resort - STAAH,Rub/23-24/AMC467,Annual Maintenance,15000,Maintenance Of Website
Sales,Nov-2023,Suncity Resorts,Rub/23-24/AMC468,Annual Maintenance,18000,Maintenance Of Website
Sales,Nov-2023,Aastha Escape -  STAAH,Rb/ST/23-24/1491,Monthly Fees C M,5000,STAAH
Sales,Nov-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1492,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1492,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1493,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1493,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1493,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1494,Monthly Fees C M,5500,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1494,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1494,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1495,Monthly Fees C M,6000,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1495,Monthly Fees  B E,2200,STAAH
Sales,Nov-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1495,Monthly Google Listing,2000,STAAH
Sales,Nov-2023,Aero Village - STAAH,Rb/ST/23-24/1496,Monthly CM (1),4500,STAAH
Sales,Nov-2023,Aero Village - STAAH,Rb/ST/23-24/1496,Monthly BE (1),2500,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1497,Monthly Fees C M,5000,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1497,Monthly Fees  B E,1000,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1497,Monthly Fees C M,1500,STAAH
Sales,Nov-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1497,Monthly Fees  B E,500,STAAH
Sales,Nov-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1498,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1498,Monthly Fees  B E,1000,STAAH
Sales,Nov-2023,Amour Resort - STAAH,Rb/ST/23-24/1499,Monthly Fees C M,4000,STAAH
Sales,Nov-2023,Amour Resort - STAAH,Rb/ST/23-24/1499,Monthly Fees  B E,2000,STAAH
