VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Oct-2023,Aastha Escape -  STAAH,Rb/ST/23-24/1274,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1275,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1275,Monthly Fees  B E,2200,STAAH
Sales,Oct-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Fees  B E,2200,STAAH
Sales,Oct-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1276,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Fees C M,5500,STAAH
Sales,Oct-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Fees  B E,2200,STAAH
Sales,Oct-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1277,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Fees  B E,2200,STAAH
Sales,Oct-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1278,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Aero Village - STAAH,Rb/ST/23-24/1279,Monthly CM (1),4500,STAAH
Sales,Oct-2023,Aero Village - STAAH,Rb/ST/23-24/1279,Monthly BE (1),2500,STAAH
Sales,Oct-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees C M,1500,STAAH
Sales,Oct-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1280,Monthly Fees  B E,500,STAAH
Sales,Oct-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1281,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1281,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Amour Resort - STAAH,Rb/ST/23-24/1282,Monthly Fees Instant Website,2000,STAAH
Sales,Oct-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1283,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1284,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1284,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/1285,Monthly Fees C M,3000,STAAH
Sales,Oct-2023,Athi Resort - STAAH,Rb/ST/23-24/1286,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Athi Resort - STAAH,Rb/ST/23-24/1286,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Baga High Q - STAAH,Rb/ST/23-24/1287,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1288,Booking Engine & C.M.S. (STAAH),7750,STAAH
Sales,Oct-2023,Bambolim Beach Resort - STAAH,Rb/ST/23-24/1288,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Bay 15 - STAAH (New),Rb/ST/23-24/1289,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Bay 15 - STAAH (New),Rb/ST/23-24/1289,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Baywatch Resort - STAAH,Rb/ST/23-24/1290,Monthly Fees C M,4250,STAAH
Sales,Oct-2023,Baywatch Resort - STAAH,Rb/ST/23-24/1290,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Bedrock Boutique Hostel - STAAH,Rb/ST/23-24/1291,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Beira Mar Beach Resort - STAAH,Rb/ST/23-24/1292,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1293,Booking Engine & C.M.S. (STAAH),6500,STAAH
Sales,Oct-2023,Beleza...by the Beach - STAAH,Rb/ST/23-24/1293,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1294,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Oct-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1294,Monthly Fees RM,2000,STAAH
Sales,Oct-2023,Bogmallo Beach Resort - STAAH,Rb/ST/23-24/1294,Monthly Google Listing,3000,STAAH
Sales,Oct-2023,Boomerang  Ashvem (C) - STAAH,Rb/ST/23-24/1295,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Cabo Serai - STAAH,Rb/ST/23-24/1296,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Cabo Serai - STAAH,Rb/ST/23-24/1296,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Calangute Beach Resort - STAAH,Rb/ST/23-24/1297,Monthly Fees C M,3500,STAAH
