VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Sept-2023,Sea Shell Hospitality,Rub/23-24/DG/342,Google Adwords Commission,18000,Digital Media
Sales,Sept-2023,Sea Shell Hospitality,Rub/23-24/DG/343,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,Chances Casino Resort ( DG ),Rub/23-24/DG/344,Social Media Optimisation,25000,Digital Media
Sales,Sept-2023,Chances Casino Resort ( DG ),Rub/23-24/DG/344,Search Engine Optimisation,15000,Digital Media
Sales,Sept-2023,Green Valley Beach Resort - STAAH,Rub/23-24/anu345,Annual Maintenance,12000,Maintenance Of Website
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rub/23-24/DH/346,Website Migration,5000,Domain And Hosting
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rub/23-24/DH/346,Hosting Charges,9000,Domain And Hosting
Sales,Sept-2023,Turtle Beach Resort - STAAH,Rub/23-24/DH/346,Annual Maintenance,12000,Maintenance Of Website
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/347,Social Media Marketing,100000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/347,You Tube Agency Fess,6000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/347,You Tube Content Management Fees,8000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/348,Google Adwords for the Website,30000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/348,Social Media Management,16000,Digital Media
Sales,Sept-2023,Rio Management Services Private Linited,Rub/23-24/DG/348,Influencer Marketing,20000,Digital Media
Sales,Sept-2023,Rio Boutique - DG,Rub/23-24/DG/349,Social Media,50000,Digital Media
Sales,Sept-2023,Chances Casino Resort (Domain),Rub/23-24/DH/351,Renewal of Domain Name,1350,Domain And Hosting
Sales,Sept-2023,Aastha Escape -  STAAH,Rb/ST/23-24/1064,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1065,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Acron BNB - STAAH (New),Rb/ST/23-24/1065,Monthly Fees  B E,2200,STAAH
Sales,Sept-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1066,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1066,Monthly Fees  B E,2200,STAAH
Sales,Sept-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/1066,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1067,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1067,Monthly Fees  B E,2200,STAAH
Sales,Sept-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/1067,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1068,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1068,Monthly Fees  B E,2200,STAAH
Sales,Sept-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/1068,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Aero Village - STAAH,Rb/ST/23-24/1069,Monthly CM (1),4500,STAAH
Sales,Sept-2023,Aero Village - STAAH,Rb/ST/23-24/1069,Monthly BE (1),2500,STAAH
Sales,Sept-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1070,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1070,Monthly Fees  B E,1000,STAAH
Sales,Sept-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1070,Monthly Fees C M,1500,STAAH
Sales,Sept-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/1070,Monthly Fees  B E,500,STAAH
Sales,Sept-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1071,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/1071,Monthly Fees  B E,1000,STAAH
Sales,Sept-2023,Amour Resort - STAAH,Rb/ST/23-24/1072,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Amour Resort - STAAH,Rb/ST/23-24/1072,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Amour Resort - STAAH,Rb/ST/23-24/1072,Monthly Fees Instant Website,2000,STAAH
Sales,Sept-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1073,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/1073,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1074,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/1074,Monthly Fees  B E,1000,STAAH
