VCHTYPE,DATE,PARTYLEDGERNAME,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Apr-2023,Aastha Escape -  STAAH,Rb/ST/23-24/01,Monthly Fees C M,5000,STAAH
Sales,Apr-2023,Acron BNB - STAAH (New),Rb/ST/23-24/02,Monthly Fees C M,6000,STAAH
Sales,Apr-2023,Acron BNB - STAAH (New),Rb/ST/23-24/02,Monthly Fees  B E,2200,STAAH
Sales,Apr-2023,Acron BNB - STAAH (New),Rb/ST/23-24/02,Monthly Google Listing,2000,STAAH
Sales,Apr-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/03,Monthly Fees C M,6000,STAAH
Sales,Apr-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/03,Monthly Fees  B E,2200,STAAH
Sales,Apr-2023,Acron Candolim Regina - STAAH,Rb/ST/23-24/03,Monthly Google Listing,2000,STAAH
Sales,Apr-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/04,Monthly Fees C M,5500,STAAH
Sales,Apr-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/04,Monthly Fees  B E,2200,STAAH
Sales,Apr-2023,Acron Seaway Resort - STAAH,Rb/ST/23-24/04,Monthly Google Listing,2000,STAAH
Sales,Apr-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/05,Monthly Fees C M,6000,STAAH
Sales,Apr-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/05,Monthly Fees  B E,2200,STAAH
Sales,Apr-2023,Acron Waterfront Resort - STAAH,Rb/ST/23-24/05,Monthly Google Listing,2000,STAAH
Sales,Apr-2023,Aero Village - STAAH,Rb/ST/23-24/06,Monthly CM (1),4500,STAAH
Sales,Apr-2023,Aero Village - STAAH,Rb/ST/23-24/06,Monthly BE (1),2500,STAAH
Sales,Apr-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/07,Monthly Fees C M,5000,STAAH
Sales,Apr-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/07,Monthly Fees  B E,1000,STAAH
Sales,Apr-2023,Alagoa Beach Resort - STAAH,Rb/ST/23-24/07,Monthly Fees C M,3000,STAAH
Sales,Apr-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/08,Monthly Fees C M,4000,STAAH
Sales,Apr-2023,Hotel Amani (Ajgaonkar) - STAAH,Rb/ST/23-24/08,Monthly Fees  B E,1000,STAAH
Sales,Apr-2023,Amour Resort - STAAH,Rb/ST/23-24/09,Monthly Fees C M,4000,STAAH
Sales,Apr-2023,Amour Resort - STAAH,Rb/ST/23-24/09,Monthly Fees  B E,2000,STAAH
Sales,Apr-2023,Amour Resort - STAAH,Rb/ST/23-24/09,Monthly Fees Instant Website,2000,STAAH
Sales,Apr-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/10,Monthly Fees C M,5000,STAAH
Sales,Apr-2023,Andores Resort & Spa - STAAH,Rb/ST/23-24/10,Monthly Fees  B E,1500,STAAH
Sales,Apr-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/11,Monthly Fees C M,4000,STAAH
Sales,Apr-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/11,Monthly Fees  B E,1000,STAAH
Sales,Apr-2023,Antares Beach Resort - STAAH,Rb/ST/23-24/11,Setup PMS,5000,STAAH
Sales,Apr-2023,Arotel Rooms & Suites - STAAH,Rb/ST/23-24/12,Monthly Fees C M,3000,STAAH
Sales,Apr-2023,Athi Resort - STAAH,Rb/ST/23-24/13,Monthly Fees C M,3500,STAAH
